,lead_paragraph,headline,uplifting
17,"<!-- ALAN  COHEN -->COHEN--Alan. The staff and volunteers of the Gift of Life Bone Marrow Foundation extend our deepest sympathy to the family, friends and colleagues of Alan Cohen. His memory will live on through the thousands of marrow donors tested on his behalf, leaving a legacy of hope for hundreds of patients for years to come. Jay Feinberg, Executive Director<br><br>
 ","Paid Notice: Deaths  COHEN, ALAN ",0
18,"Time gets special consideration today. We sweep out the old and ring in the new, take stock, dust off some of those perennial resolutions and maybe even formulate one or two new ones. Depending on your age and the way things have been going lately, this annual rite is not necessarily easy. So take refuge in art. There may be no better place -- no place more stimulating or ultimately more comforting -- to contemplate life's forward motion than a large museum, especially the great time machine that is the Metropolitan Museum of Art. The Met is closed today while most of us take a collective timeout for time, but -- at least for now -- there's always tomorrow.","Time, the Infinite Storyteller",0
19,"When Tim Tebow takes the field for fifth-ranked Florida in the Sugar Bowl on Friday night, it will mark the end of one of the most remarkable careers in college football. Tebow won two national titles, was a three-time Heisman finalist and will be remembered as a consummate competitor and a humanitarian.","After Being a Florida Icon, Tebow Becomes an N.F.L. Question Mark",0
21,"Time gets special consideration today. We sweep out the old and ring in the new, take stock, dust off some of those perennial resolutions and maybe even formulate one or two new ones. Depending on your age and the way things have been going lately, this annual rite is not necessarily easy. So take refuge in art. There may be no better place -- no place more stimulating or ultimately more comforting -- to contemplate life's forward motion than a large museum, especially the great time machine that is the Metropolitan Museum of Art. The Met is closed today while most of us take a collective timeout for time, but -- at least for now -- there's always tomorrow.","Time, the Infinite Storyteller",0
22,"When Tim Tebow takes the field for fifth-ranked Florida in the Sugar Bowl on Friday night, it will mark the end of one of the most remarkable careers in college football. Tebow won two national titles, was a three-time Heisman finalist and will be remembered as a consummate competitor and a humanitarian.","After Being a Florida Icon, Tebow Becomes an N.F.L. Question Mark",0
24,"-- Here's what you do: Fly into Logan International Airport here. Hop on the free No. 66 shuttle bus. Get off at the water taxi stand next to the Hyatt Harborside hotel. Your water taxi, a blue-and-white 25-passenger boat, is waiting at the dock. You called ahead, from the bus. So what if it's cold? Winter is a great time to visit Boston. Fewer tourists. Lower hotel rates. Ice skating and hot chocolate at the Frog Pond, on the Boston Common. But, not to worry, the water taxi is heated. Sit back on the white cushioned bench and prepare to enjoy the seven- or eight-minute trip across the harbor.","In Boston, Where Change Is in the Winter Air",0
25,Video Games,"Around the City, A Wide Range of Sounds",0
26,"Loping down a slope near a mountaintop or leaping from a cliff, they capture the wind in the nylon canopy they carried in their knapsacks, then rise in a thermal to thousands of feet to float and swoop for mile after mile. For decades, thousands of enthusiasts like these have scaled peaks around the world or climbed hills above rolling meadows to experience the thrills and joys of paragliding. They owe that experience in large part to David Barish.","David Barish, 88, Inventor Of an Early Paraglider",0
27,"In the last 100 years, only three New York City mayors have served three terms. After spending more than $100 million to become the fourth, Michael Bloomberg boasted on election night that he would challenge the conventional wisdom, and the historical record, that third-term mayors are too tired and too jaded to serve the city or themselves terribly well. Mr. Bloomberg, who will be sworn in on Friday, has already accomplished a good deal and is always eager to prove the pundits wrong. This time, it will be harder.",Mr. Bloomberg's Third Term,0
28,"<!-- DOLORES  LIETH -->LIETH--Dolores (nee Nutt), passed away peacefully in her 93rd year at Cabrini Center for Nursing and Rehabilitation, surrounded by family, after a long battle with Alzheimer's Disease. Born in Brooklyn, she attended John Adams High School, and Kings County Nursing School. During World War II she served in the US Army, and worked at Kings County Hospital Center most of her career. Dolores was predeceased by her husband, Stanley. She is survived by her sister, Cecilia, her daughter Leslie Lieth Tedeschi (Philip), sons Douglas (Claire) and William (Suzanne), grandchildren Paul and Kay Tedeschi, Ryan Lieth, and numerous nieces and nephews. Visitation at Gannon Funeral Home 152 East 28th Street NYC on Friday 2-4 and 7-9pm. Mass of Christian burial on Saturday 9:30am at St. Ignatius Loyola. In lieu of flowers, donations may be made in her memory to Regis HS, 55 E. 84th Street, New York, NY 10028 or Cabrini Center for Nursing and Rehabilitation 542 East 5th Street, New York, NY 10009.<br><br>
 ","Paid Notice: Deaths  LIETH, DOLORES ",0
29,"<!-- ROBERT H. SMITH -->SMITH--Robert H. The Board of Trustees and staff of the New-York Historical Society mourn the loss of Robert H. Smith. We will remember with deep gratitude his friendship and support and extend our sympathies to his wife, Clarice and children Michelle and David. Roger Hertog, Chairman Louise Mirrer, President and CEO<br><br>
 ","Paid Notice: Deaths  SMITH, ROBERT H.",0
30,"In his book ''Resurrection,'' Jim Dent makes the case that the 1964 season saved Notre Dame football. The mid-50s and early 60s -- the post-Frank Leahy years -- had been tough and divisive ones on the South Bend campus; so unsettling that some administrators advocated de-emphasizing the university's most famous asset. A 2-7 record in 1963 hardly quieted such talk, and in its aftermath, 40-year-old Ara Parseghian was hired away from Northwestern. The fiery coach with the coal-black eyes oversaw a transformation that's still regarded as a miracle at a place where belief in them never wavers. Parseghian took the '64 Fighting Irish on a 9-1 joy ride that ended just seconds short of a national championship. The de-emphasis talk became an inaudible whisper. Notre Dame thrived as a major player in the game it likes to think it invented.",SPORTS; Irish Should Follow Wildcats' Example,0
31,"The Buffalo Bills embarked on another rebuilding effort with a front-office shake-up Thursday, promoting the team's director of college scouting, Buddy Nix, to the general manager's job. Although the move is unlikely to appease fans who had hoped for a fresh start for a team that is 5-10 and last made the playoffs in 1999, Nix, 70, is a widely respected personnel evaluator. Through shrewd draft picks, he helped build one of the N.F.L.'s most talented rosters in San Diego, where he worked as a personnel executive until 2008 under General Manager A. J. Smith.",Bills Look to Their Past For New General Manager,0
32,"This is a city founded on salt. Once a center of typewriter manufacturing but probably best known nowadays for its university, Syracuse lies to the southeast of Onondaga Lake, whose salty deposits stimulated the city's economic growth, particularly from the 1820s to the 1860s.",A City With a Proudly Salty Reputation,0
34,"I've never outwardly cheered in the press box. There are too many games, too many Marriotts and too many good guys and bad guys to get worked up over the final score. A sportswriter can root for good stories or good quotations, but after thousands of games, news conferences and sound bites, you realize there will always be a winner and a loser. There was one exception. On a warm night in Glendale, Ariz., on New Year's Day in 2007, I saw something so unreal, stupefying and mind-boggling that I couldn't help but let out an expression of exhilaration.",Using Trickery to Burst Into Our Consciousness,0
35,"SMITH--Robert H. The Board of Trustees and staff of the New-York Historical Society mourn the loss of Robert H. Smith. We will remember with deep gratitude his friendship and support and extend our sympathies to his wife, Clarice and children Michelle and David. Roger Hertog, Chairman Louise Mirrer, President and CEO","Paid Notice: Deaths  SMITH, ROBERT H",0
37,"Jeffrey Schorner darts through Al's Family Farms like a car salesman in a crowded showroom. He brags about his orange juice. He climbs under the packing machine. He grabs a tangelo for a gift box, then orders his 15-year-old son to the nearby groves. ''Pick me two sunbursts,'' he shouts, sounding like his own father, Al, who founded the company. ''Then pick lemons.''","Deep Roots, Sweet Oranges And a Taste of Florida's Past",0
38,"A spectacular new concert hall is rising skyward on the banks of the Elbe River at the end of a pier in the old harbor here. City leaders hope the hall, the Elbphilharmonie, will become a new world landmark on par with the Sydney Opera House, nudging a city often too modest for its own good toward the international prominence they believe it deserves. But the new, extravagant project is unusual for Hamburg, an affluent but unassuming old Hanseatic city, with a reputation for sober-minded business sense compared with the baroque flash of its rival, Munich, in the south.",Grand New Concert Hall Tests a City's Frugal Ways,0
39,"Along with Wall Street's resurgent bonuses will come a jump in an ancillary benefit: tax breaks. For all banks and Wall Street firms, ''I'm sure we're talking $200 billion total compensation, which would create a tax savings for the firms of $80 billion,'' said Robert Willens, an accounting and tax analyst in New York who runs a consulting firm, Robert Willens LLC. The figure does not include bonus plans by hedge funds, which are likely to reduce their payouts after a down year.","With Bigger Bonuses, an Upside for Banks",0
40,"WITTEK--Seymour, 88, on December 30, 2009. Devoted son and husband, beloved father, grandfather and great-grandfather, loyal friend. He lived every day to the fullest. In April 1943, Coast Guardsman Wittek volunteered to extinguish a fire aboard the S.S. El Estero in New York Harbor, thereby averting disaster. 65 years later, in the presence of his proud family, he was awarded a Coast Guard commendation for bravery on the U.S.S. Intrepid. Seymour's wide range of passions included Yiddishkeit, history and politics, the Coast Guard and the sea, the Yankees and NYC; he remained active in his temple and as a volunteer into his 88th year. Proud lifelong liberal. Seymour was a man of integrity and compassion who touched and inspired many. He will be sorely missed.","Paid Notice: Deaths  WITTEK, SEYMOUR",0
41,"AT THE WHITNEY The Whitney Biennial is an affair of short-term memory and long-term amnesia. How many artists can you name who were in it, say, in 2006? With this year's model slated to open in February, however, the museum will offer a refresher course in the form of ''Collecting Biennials,'' an exhibition of works by artists who have participated in the Whitney Museum's periodic surveys of the art of the moment over the last eight decades.",Downtime At New Year? It's Filled,0
42,"Federal authorities have agreed not to prosecute the Pilgrim's Pride Corporation, a major chicken processor, for hiring illegal immigrant workers, and the company has agreed to pay the federal government $4.5 million over three years, said federal prosecutors for the Eastern District of Texas. John M. Bales, the United States attorney for the district, said late Wednesday that he would end a two-year investigation of immigration violations at Pilgrim's Pride, which also emerged from bankruptcy this week. The payment was not described as a fine, and the company, which is based in Pittsburg, Tex., admitted no criminal or civil misconduct.",Officials End Immigration Inquiry,0
43,"The Iranian police say a video that appears to show a police pickup truck running over a protester was faked, the Iranian news agency ISNA reported Thursday. The police statement was responding to the circulation on the Internet of an amateur video said to have been taken Sunday during large antigovernment demonstrations in Tehran. The video shows a pickup truck running over a man; other screaming protesters then run to him after the truck drives off. Another video, said to be shot at the same time, shows people carrying the limp body of a man whose head is covered with blood.","Video of Attack on Protester Is a Fake, Iranian Police Say",0
44,"For some of Japan’s unemployed, home is a plastic cell barely larger than a burial vault. Originally built as shelter for salarymen who missed their trains, the cells are now being rented by the month.","Jobless, and Living in a Bunk ",0
45,"BERG--Ian J.,68, a managing partner of Eastern Technology Fund, died of pancreatic cancer.","Paid Notice: Deaths  BERG, IAN J.",0
46,"The financial crisis did not produce many stars. One of the few was Neel T. Kashkari, the former Bush administration bailout chief. A onetime investment banker at Goldman Sachs, Mr. Kashkari became an instant celebrity in October 2008 when he was tapped by Henry M. Paulson Jr., then the Treasury secretary, to run the Troubled Asset Relief Program for banks. He was christened ''the $700 billion man'' for overseeing such a huge amount of banking aid.","After a Year of Tumult at Treasury, Former Bailout Chief Took a Quiet Path to Pimco",0
47,"The attempted bombing of an American passenger plane on Christmas Day could greatly complicate President Obama's efforts to close the detention center at Guantánamo Bay, Cuba, as lawmakers in both parties call on the administration to rethink its approach. The task of determining what to do with the detainees held at Guantánamo has already proved so daunting that Mr. Obama is poised to miss his self-imposed one-year deadline for shuttering the prison by Jan. 22. But evidence that Al Qaeda's branch in Yemen was behind last week's failed plane attack will make closing the center even harder since nearly half the remaining detainees are from Yemen.",Terror Attempt May Hinder Plans to Close Guantánamo,0
48,"The popularity of pot clubs in the Bay Area has led to a burgeoning crop of medical marijuana millionaires. Call them the ganja riche. Like many of their nouveaux predecessors, they are trying to figure out what to do with their cash. Some are giving to charity, but you will not see any fanfare or buildings named in their honor. Medicinal marijuana remains a legal gray area, and nothing -- even philanthropy -- is simple when it comes to the proceeds. Oakland's medical marijuana headquarters, Oaksterdam University, could not even sponsor a local food bank.",Some Medical Marijuana Millionaires Are Turning to Philanthropy,0
49,"COHEN--Alan. The staff and volunteers of the Gift of Life Bone Marrow Foundation extend our deepest sympathy to the family, friends and colleagues of Alan Cohen. His memory will live on through the thousands of marrow donors tested on his behalf, leaving a legacy of hope for hundreds of patients for years to come. Jay Feinberg, Executive Director","Paid Notice: Deaths  COHEN, ALAN",0
50,"Resolutions come and resolutions go, and enough is said about them on the first day of every January. Real change is the stuff of stories, the stuff of this story: four people doing something truly new in the new year. Not a new personal trainer, or a new pack of Nicorette, or Mandarin classes or a life without swear words. Something bigger -- something thrown at them or something they run toward; something to fear or love or both.",Now for Something Really New,0
52,"On the two-hour bus rides from her village on Lake Chapala to a dialysis clinic in Guadalajara, Monica Chavarria's thoughts would inevitably turn to the husband and son she left behind in Georgia. A decade after crossing illegally into the United States, Ms. Chavarria returned home in September after learning that Grady Memorial Hospital in Atlanta was closing the clinic that had provided her with dialysis, at taxpayer expense, for more than a year.",Ailing Immigrants Find No Relief Back Home,0
54,"<!-- ALAN  COHEN -->COHEN--Alan. We are saddened by the loss of our friend and colleague Alan Cohen. May his legacy and good-natured spirit live on within his family and community. We will miss him greatly. Attorneys and staff at Kramer Levin Naftalis & Frankel LLP<br><br>
 ","Paid Notice: Deaths  COHEN, ALAN ",0
55,A look back at the week's events in New York City and the region.,The Week in Pictures for Jan. 1 ,0
56,"A long-delayed natural gas pipeline in Western Canada, which has the potential to provide significant amounts of energy to North America, has cleared a crucial hurdle by receiving the endorsement of a Canadian government review panel. The $15.4 billion Mackenzie Valley project, which involves Royal Dutch Shell, Exxon Mobil and ConocoPhillips, would connect natural gas fields in the Arctic with the rest of Canada and potentially with the United States.",Canadian Pipeline Hurdles A Barrier,0
57,"In publishing, January was once considered a quiet time after the hubbub of the holiday rush, but this year many publishing houses delayed some of their hottest books to the first of the New Year to remove them from a scrum of titles by big-name authors that were released last fall. Here are some of the big books expected in January:",Downtime At New Year? It's Filled: Books,0
58,"It is not, from a purely technical standpoint, impossible to make fun of Vladimir V. Putin. His head is shaped a bit like a light bulb, with eyes that are heavy-lidded, as if to convey that he has just been reading your dossier. He has a needle nose, a prizefighter's swagger and a fondness for posing shirtless. If all else fails, there is always the matter of height. But caricatures of the Russian prime minister long ago vanished from state-controlled television. Ten years ago, the creators of the show ''Kukly'' came under such pressure from the Kremlin to retire their grotesque puppet of Mr. Putin that they responded, rather sardonically, by depicting him as a burning bush. The show was eventually canceled, and caution has prevailed since then. A talk show, ''Real Politics,'' included Mr. Putin in cartoons, but he was seen only from the neck down.","Making a Little Fun, but Not Too Much Fun, of Russia's Powerful",0
60,"The Republican primary for President Obama's old United States Senate seat is so consumed by closets, it should be sponsored by Bed Bath & Beyond. Is Representative Mark Steven Kirk, a Republican respectfully feared by the White House, gay? Amid the recession, the health care debate and wars in Afghanistan and Iraq, this question is the 800-pound pink elephant in the G.O.P. room.","In Senate Race, the State G.O.P. Is Digging Its Own Hole",0
61,"DEIN--Gittie Pfeffer. Dear sis, loved and remembered everyday. Carol","Paid Notice: Memorials  DEIN, GITTIE PFEFFER",0
62,"The memorial service for Percy E. Sutton, the legendary Harlem politician and mentor to Gov. David A. Paterson, has caused a major scheduling headache: The service is scheduled to start just hours before Mr. Paterson is to deliver his 2010 State of the State address. The family of Mr. Sutton, a former Manhattan borough president and Harlem elder statesman who died on Saturday, is holding his memorial service Wednesday at 11 a.m. at Riverside Church in Manhattan.",Funeral Service for Sutton Means Travel for Governor,0
63,"A work by the Impressionist master Edgar Degas has been stolen from an exhibition in Marseille, Agence France-Presse reported. According to the police ''The Chorus,'' above, a small colorful pastel depicting singers on a stage, worth an estimated $1.15 million, was stolen overnight from the Cantini Museum. A security guard noticed that it was missing early Thursday morning. Jacques Dallest, a prosecutor, said the artwork appeared to have been unscrewed from the wall, adding, ''As far as I know there was no break-in.'' The Degas belongs to the Musée d'Orsay in Paris, according to the French national museum authority, and was on loan for an exhibition featuring some 20 works by the artist.",Degas Work Stolen From French Museum,0
66,"ROSS--Morton M.,94, died peacefully at home Thursday, December 31st, 2009. Cherished brother of Leonard, loving father of Regina and MayLisa and their husbands Derek and John and beloved grandfather of Casey, Kylie, Gabrielle and Rachel. Services private. In lieu of flowers, donations may be made to Mt. Sinai Visiting Doctors would be appreciated.","Paid Notice: Deaths  ROSS, MORTON M.",0
68,"The Transportation Security Administration on Thursday dropped the subpoenas it had issued to two Internet writers in its effort to learn who leaked an airline security directive. The agency said the investigation was ''nearing a successful conclusion, and the subpoenas are no longer in effect.''",Agency Drops Bloggers' Subpoenas,0
69,COHEN--Alan. We are saddened by the loss of our friend and colleague Alan Cohen. May his legacy and good-natured spirit live on within his family and community. We will miss him greatly. Attorneys and staff at Kramer Levin Naftalis & Frankel LLP,"Paid Notice: Deaths  COHEN, ALAN",0
70,A look at the day in sports from hockey in a baseball stadium in Boston to a college football send-off in Florida.,Photo Replay: Jan. 1 ,0
71,The previous decade on television was marked by a parade of tormented males.,"On TV, a Decade of Pathological Men ",0
72,"From London to Beijing, revelers celebrated the start of a new decade with fireworks, candles and prayers.","Ringing in 2010, Around the World ",0
73,Hundreds of thousands of revelers gathered in Times Square to mark the start of a new decade.,"Celebrating 2010, in Times Square Style ",0
74,"A California judge on Thursday ruled that Gov. Arnold Schwarzenegger abused his discretion in ordering furloughs of state workers, dealing a blow to his administration's efforts to cope with California's fiscal crisis. The judge, Frank Roesch of Alameda County Superior Court, said the administration must halt the furloughs for workers represented by three unions, including Service Employees International Union Local 1000, which represents 95,000 state employees.",Judge Blocks Furloughs In California,0
75,"A bogus placard on the windshield of a suspicious-looking van played a role in why the Police Department did not investigate the vehicle for two days while it was parked in Times Square, a police spokesman said Thursday. The vehicle's owner, meanwhile, was arrested and charged with a felony.",Police Say Placard Misled Them Into Overlooking a Suspect Van in Times Square,0
76,"POP This month, pinups for brainy girls of different generations will show off new material, getting an early jump on this year's heartthrob race among thoughtful young women.","Around the City, A Wide Range of Sounds",0
77,"Storytelling is as much a part of the lore of Billy Goat Tavern as ''cheezborgers'' and the ink-stained wretches who ducked out of newspaper offices over the years to down a shot and a beer. The bar is owned by Sam Sianis, below, whose uncle bought the original tavern in 1934 with a $205 check that bounced (the money was paid back out of receipts from the first weekend). As the Goat -- which has moved to 430 Lower Michigan Avenue below the Wrigley Building and added seven other locations -- celebrates its 75th year in Chicago, what is Mr. Sianis's favorite story?",The Pulse: Where Everybody Knows His Name,0
79,"The apparent ties between the Nigerian man charged with plotting to blow up an airliner on Christmas Day and a radical American-born Yemeni imam have cast a spotlight on a world of charismatic clerics who wield their Internet celebrity to indoctrinate young Muslims with extremist ideology and recruit them for Al Qaeda, American officials and counterterrorism specialists said. American military and law enforcement authorities said Thursday that the man accused in the bombing attempt, Umar Farouk Abdulmutallab, most likely had contacts with the cleric, Anwar al-Awlaki, whom investigators have also named as having exchanged e-mail messages with Maj. Nidal Malik Hasan, an American Army psychiatrist charged with killing 13 people in a shooting rampage in November at Fort Hood, Tex.",Focus on Internet Imams As Recruiters for Al Qaeda,0
80,"<!-- ALAN  SCHEINMAN -->SCHEINMAN--Alan. Happy birthday. 18 years of missing your smile and laughter. Forever in our hearts. Love, Roni, Phil, Greg, Kate, Auden, Harper, Sandy and Jarret<br><br>
 ","Paid Notice: Deaths  SCHEINMAN, ALAN ",0
81,"For two hours on Wednesday, Times Square morphed into a militarized zone as the police swarmed an unoccupied van with blacked out windows and no license plates parked in an area set aside for Thursday's New Year's Eve celebration. Officials said that nothing harmful was found in the van. But the scare illustrated the challenges for local, state and federal law enforcement agencies as they confront an array of security concerns when revelers flood the streets Thursday to ring in 2010.",Extra Security in Times Square for New Year's Eve,0
83,"At high noon on Oct. 25, 2008, the zeppelin Eureka glided over the Golden Gate Bridge, around San Francisco's waterfront, and then south to land lightly at Moffett Field in Mountain View -- the first dirigible to grace the region's skies since the days when Silicon Valley was more famous for its peaches than for its personal computers. Alexandra Hall, the co-founder and chief executive of Airship Ventures, had hoped to make rigid-bodied dirigibles a regular presence in the Bay Area skies once again, ferrying well-heeled tourists on $495 rides above San Francisco Bay, conducting atmospheric experiments and serving as a flying billboard.","As Tourism and Advertising Slide, Company Struggles to Stay Aloft",0
84,"<!-- SEYMOUR  WITTEK -->WITTEK--Seymour, 88, on December 30, 2009. Devoted son and husband, beloved father, grandfather and great-grandfather, loyal friend. He lived every day to the fullest. In April 1943, Coast Guardsman Wittek volunteered to extinguish a fire aboard the S.S. El Estero in New York Harbor, thereby averting disaster. 65 years later, in the presence of his proud family, he was awarded a Coast Guard commendation for bravery on the U.S.S. Intrepid. Seymour's wide range of passions included Yiddishkeit, history and politics, the Coast Guard and the sea, the Yankees and NYC; he remained active in his temple and as a volunteer into his 88th year. Proud lifelong liberal. Seymour was a man of integrity and compassion who touched and inspired many. He will be sorely missed.<br><br>
 ","Paid Notice: Deaths  WITTEK, SEYMOUR ",0
85,"<!-- ALAN  COHEN -->COHEN--Alan. The members and staff of Elmwood Country Club mourn the passing of our esteemed member and friend, Alan Cohen. We wish to express our sincere sympathies to Alan's wife Judy and his children Maddy and Wendy.<br><br>
 ","Paid Notice: Deaths  COHEN, ALAN ",0
86,"After a report that the Weinstein Company was scaling back its release of ''Nine,'' the studio says it has no plans to pull the movie out of some theaters, Reuters reported. Last weekend the Federico Fellini-inspired musical with a star-studded cast was showing on 1,412 screens in the United States. This week David Glasser, an operations executive for the Weinstein Company, said it was performing well on 890 screens, and Reuters reported that it would be shown on about 800 to 900 screens in the weeks ahead. On Wednesday Mr. Glasser said, ''At this moment in time there has been no plan between us nor the theater chains that we deal with to cut any theaters.'' ''Nine'' opened in limited release on Dec. 18 in the United States and expanded to wide release on Dec. 25. The film, which received generally poor reviews from critics, cost an estimated $64 million to produce and finished eighth at the North American box office on its second week last weekend with a modest $5.5 million in ticket sales.",Nine' Is Staying Put,0
87,"BARISON--David. 1964-1995. ""And departing, leave behind us Footprints on the sands of time."" Mom, Dad, Steven, Amy, Gregg","Paid Notice: Memorials  BARISON, DAVID",0
88,What you need to know before you start 2010 by consuming more than 12 hours of college football. OUTBACK BOWL,New Year's Day Bowl Games,0
